threshold,precision,recall,f1,accuracy
0.0,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.05555555555555555,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.1111111111111111,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.16666666666666666,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.2222222222222222,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.2777777777777778,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.3333333333333333,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.38888888888888884,0.6967213114754098,1.0,0.821256038647343,0.6991869918699187
0.4444444444444444,0.7024793388429752,1.0,0.8252427184466019,0.7073170731707317
0.5,0.7327586206896551,1.0,0.8457711442786069,0.7479674796747967
0.5555555555555556,0.7657657657657657,1.0,0.8673469387755102,0.7886178861788617
0.611111111111111,0.7924528301886793,0.9882352941176471,0.8795811518324608,0.8130081300813008
0.6666666666666666,0.8181818181818182,0.9529411764705882,0.8804347826086957,0.8211382113821138
0.7222222222222222,0.8409090909090909,0.8705882352941177,0.8554913294797689,0.7967479674796748
0.7777777777777777,0.8615384615384616,0.6588235294117647,0.7466666666666668,0.6910569105691057
0.8333333333333333,0.9,0.4235294117647059,0.576,0.5691056910569106
0.8888888888888888,0.9090909090909091,0.23529411764705882,0.3738317757009346,0.45528455284552843
0.9444444444444444,0.0,0.0,0.0,0.3089430894308943
1.0,0.0,0.0,0.0,0.3089430894308943
