threshold,precision,recall,f1,accuracy
0.0,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.05555555555555555,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.1111111111111111,0.7142857142857143,1.0,0.8333333333333333,0.7235772357723578
0.16666666666666666,0.7589285714285714,1.0,0.8629441624365483,0.7804878048780488
0.2222222222222222,0.7870370370370371,1.0,0.8808290155440415,0.8130081300813008
0.2777777777777778,0.8173076923076923,1.0,0.8994708994708994,0.8455284552845529
0.3333333333333333,0.8235294117647058,0.9882352941176471,0.8983957219251337,0.8455284552845529
0.38888888888888884,0.8235294117647058,0.9882352941176471,0.8983957219251337,0.8455284552845529
0.4444444444444444,0.8235294117647058,0.9882352941176471,0.8983957219251337,0.8455284552845529
0.5,0.8235294117647058,0.9882352941176471,0.8983957219251337,0.8455284552845529
0.5555555555555556,0.8235294117647058,0.9882352941176471,0.8983957219251337,0.8455284552845529
0.611111111111111,0.8163265306122449,0.9411764705882353,0.8743169398907105,0.8130081300813008
0.6666666666666666,0.8369565217391305,0.9058823529411765,0.8700564971751413,0.8130081300813008
0.7222222222222222,0.8641975308641975,0.8235294117647058,0.8433734939759034,0.7886178861788617
0.7777777777777777,0.8787878787878788,0.6823529411764706,0.7682119205298014,0.7154471544715447
0.8333333333333333,0.8809523809523809,0.43529411764705883,0.5826771653543308,0.5691056910569106
0.8888888888888888,0.8888888888888888,0.09411764705882353,0.1702127659574468,0.36585365853658536
0.9444444444444444,1.0,0.011764705882352941,0.023255813953488372,0.3170731707317073
1.0,0.0,0.0,0.0,0.3089430894308943
