threshold,precision,recall,f1,accuracy
0.0,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.05555555555555555,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.1111111111111111,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.16666666666666666,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.2222222222222222,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.2777777777777778,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.3333333333333333,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.38888888888888884,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.4444444444444444,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.5,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.5555555555555556,0.8252427184466019,1.0,0.9042553191489361,0.8536585365853658
0.611111111111111,0.8235294117647058,0.9882352941176471,0.8983957219251337,0.8455284552845529
0.6666666666666666,0.8235294117647058,0.9882352941176471,0.8983957219251337,0.8455284552845529
0.7222222222222222,0.8229166666666666,0.9294117647058824,0.87292817679558,0.8130081300813008
0.7777777777777777,0.0,0.0,0.0,0.3089430894308943
0.8333333333333333,0.0,0.0,0.0,0.3089430894308943
0.8888888888888888,0.0,0.0,0.0,0.3089430894308943
0.9444444444444444,0.0,0.0,0.0,0.3089430894308943
1.0,0.0,0.0,0.0,0.3089430894308943
