threshold,precision,recall,f1,accuracy
0.0,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.05555555555555555,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.1111111111111111,0.7024793388429752,1.0,0.8252427184466019,0.7073170731707317
0.16666666666666666,0.7327586206896551,1.0,0.8457711442786069,0.7479674796747967
0.2222222222222222,0.8018867924528302,1.0,0.8900523560209425,0.8292682926829268
0.2777777777777778,0.8173076923076923,1.0,0.8994708994708994,0.8455284552845529
0.3333333333333333,0.8252427184466019,1.0,0.9042553191489361,0.8536585365853658
0.38888888888888884,0.8252427184466019,1.0,0.9042553191489361,0.8536585365853658
0.4444444444444444,0.82,0.9647058823529412,0.8864864864864864,0.8292682926829268
0.5,0.8229166666666666,0.9294117647058824,0.87292817679558,0.8130081300813008
0.5555555555555556,0.8172043010752689,0.8941176470588236,0.8539325842696629,0.7886178861788617
0.611111111111111,0.8111111111111111,0.8588235294117647,0.8342857142857144,0.7642276422764228
0.6666666666666666,0.8192771084337349,0.8,0.8095238095238095,0.7398373983739838
0.7222222222222222,0.8169014084507042,0.6823529411764706,0.7435897435897436,0.6747967479674797
0.7777777777777777,0.8301886792452831,0.5176470588235295,0.6376811594202898,0.5934959349593496
0.8333333333333333,0.8695652173913043,0.23529411764705882,0.3703703703703704,0.44715447154471544
0.8888888888888888,0.0,0.0,0.0,0.3089430894308943
0.9444444444444444,0.0,0.0,0.0,0.3089430894308943
1.0,0.0,0.0,0.0,0.3089430894308943
